     phi1       Phi      phi2
  15.3047   149.601   81.1466
  16.8878   129.112   99.7893
  8.37961   145.515    93.969
  346.578   137.185   80.8159
  24.0899    126.15    92.279
  8.64667   141.732   76.0477
  349.989   137.745   126.348
  30.9182   126.155   87.9269
  41.2188   140.772   88.5739
  337.934   140.536   93.6609
  327.768   144.129   78.2488
  352.673   129.706    82.663
  328.859   132.768   83.2748
  49.2154   146.993   94.7146
  6.60424   136.904   76.5515
  349.007   124.895   97.5236
  22.6799   110.537   93.0683
  308.658   120.824   68.2015
  44.9537   122.036   88.1528
  357.825   147.796   76.9885
  39.6375   152.132   116.073
  315.711   141.233   61.1014
  313.829   124.051    80.994
  3.83543   131.086   91.8234
  14.4239   127.428   82.2592
  36.7331   128.499   80.2841
  22.0293   131.271   70.4188
  319.035   137.762   88.2107
   10.695   134.992    82.851
  325.184   135.013   89.4462
  47.4398   138.828   99.9432
   31.291   135.295   79.1024
  25.5539   135.757   102.165
  349.991   139.194   96.3648
  5.49288   142.758   76.1782
  328.083   135.361   77.4388
  331.513   120.959     84.01
  22.2014   129.591   92.8311
  46.3584   126.211   87.0167
  350.944   133.258   95.8562
  38.1258   146.745   95.6421
  22.5228   147.342   77.2647
  32.2142   129.319    105.25
  51.7887   131.718   110.479
  42.3042   126.181   99.1479
  28.9108   144.299   98.3623
  324.408   144.877   83.1076
  26.9798   135.733   83.3585
  25.5279   113.727   72.5495
  37.7661   132.364   94.2656
  355.823   131.118   85.9294
  355.429   131.831   89.6682
  11.9733   117.054      88.7
  354.172   135.016   88.5503
  311.661   139.747   69.4388
   346.77   130.496   85.9319
  22.2686    137.52    78.825
   10.797   131.708   67.7293
  350.659   127.586   90.3774
   32.688   132.377   90.3085
  333.855   110.752   81.5708
  17.5234   115.849   77.6537
  16.2666   146.104   75.9558
  347.136   137.703   59.9401
  313.333   115.555   69.8375
  325.159   129.054   87.2862
  313.851   126.768   70.9323
  341.089   132.958   77.4055
  53.6172   136.743   108.478
  1.42219   128.275   90.2242
  44.0439   137.017   90.6786
  352.037   130.992   91.9821
  10.4489   139.796   63.3363
  323.113   139.937   67.3577
  338.091   125.608   95.8609
  339.702   120.604   84.6128
  329.976   138.582   103.167
  350.145   143.032   112.094
  324.683     123.8   84.4906
  325.362   129.994   98.2839
  336.741   137.149   50.9196
  47.0549   138.805   95.7918
  357.778   114.255   88.1819
  319.811   123.165   69.4957
